Table S5: Skewing of ABIS-samples as measured by mini-TRiXi using 2 out of 5 repeats.			
sample	mean_skewing	TRiXi1_skewing	TRiXi3_skewing
319857	homozygous	homozygous	homozygous
323330	homozygous	homozygous	homozygous
204467	homozygous	homozygous	homozygous
300196	homozygous	homozygous	homozygous
300425	homozygous	homozygous	homozygous
300428	homozygous	homozygous	homozygous
300573	homozygous	homozygous	homozygous
300973	homozygous	homozygous	homozygous
303430	homozygous	homozygous	homozygous
303461	homozygous	homozygous	homozygous
303473	homozygous	homozygous	homozygous
305103	homozygous	homozygous	homozygous
316336	homozygous	homozygous	homozygous
316631	homozygous	homozygous	homozygous
317239	homozygous	homozygous	homozygous
320523	homozygous	homozygous	homozygous
303725	homozygous	homozygous	homozygous
315198	homozygous	homozygous	homozygous
316963	homozygous	homozygous	homozygous
320834	homozygous	homozygous	homozygous
323237	homozygous	homozygous	homozygous
301363	95.4	96.2	94.6
303419	93.3	95.1	91.5
301001	89.9	homozygous	89.9
301213	88.6	homozygous	88.6
301227	87.8	90.4	85.1
303684	87.5	88.2	86.8
324434	86.6	86.6	homozygous
301435	86.4	86.4	homozygous
300515	85.8	85.8	homozygous
303640	85.7	85.7	homozygous
307927	85.5	85.5	homozygous
317631	85.1	85.1	homozygous
302825	84.7	84.7	homozygous
307839	84.4	90.6	78.3
300137	84.3	83.1	85.5
301521	84.3	85.2	83.4
323317	84.3	84.3	homozygous
318745	83.7	83.7	homozygous
303703	83.1	81.9	84.3
319890	82.9	85.8	80.1
303670	82.5	82.5	homozygous
303686	82.5	homozygous	82.5
316652	81.9	84.8	79
300069	81.7	homozygous	81.7
300087	81.7	82	81.3
317158	81.4	82	80.9
315988	81.2	88.7	73.8
303713	80.5	80.5	homozygous
317779	80.3	77.5	83.1
318609	80.3	80.2	80.5
301534	80.1	homozygous	80.1
324062	79.7	79.7	homozygous
300156	79.6	86.8	72.3
301425	79.6	homozygous	79.6
322053	79.1	79.4	78.8
324188	78.8	78.8	homozygous
317168	78.7	74.9	82.5
300199	78.6	74.3	82.9
301560	78.1	81	75.2
324249	78.1	homozygous	78.1
300098	77.9	83.9	71.9
301414	77.7	65.9	89.4
307827	77.7	85.2	70.1
301411	77.6	80	75.2
302757	77.6	77.6	homozygous
303422	77.6	70.8	84.4
321453	77.6	77.6	homozygous
302880	77.3	homozygous	77.3
318466	77.3	76.6	78
303655	76.7	homozygous	76.7
320290	76.4	76.4	homozygous
300957	76.3	72.4	80.2
316387	76.3	74.8	77.8
303197	75.5	73.1	77.9
303420	75.3	73.8	76.9
303672	75.3	77.8	72.8
302707	75.2	74	76.4
317597	75.1	72.4	77.8
302980	74.8	74	75.7
301033	74.5	76.7	72.3
301383	74.5	74.5	homozygous
301402	74.3	73.3	75.3
323236	74.2	75.4	73
317233	74.1	70.5	77.7
301104	73.8	71.9	75.6
301481	73.8	68	79.6
303214	73.3	76.4	70.3
303235	73.2	73.2	homozygous
303800	73.1	homozygous	73.1
319064	73.1	74.2	72
316819	72.9	72.9	homozygous
301447	72.7	72.7	homozygous
318600	72.7	72.7	homozygous
300226	72.6	79.8	65.4
300617	72.5	homozygous	72.5
303762	72.5	72.7	72.3
300077	72.4	71.3	73.6
303688	72.4	72.8	72
313633	72.3	homozygous	72.3
300151	72.2	70.6	73.8
303787	72.2	71.1	73.3
301209	72.1	71.3	72.9
319592	72.1	72	72.2
303636	71.9	71.9	homozygous
316755	71.7	homozygous	71.7
307917	71.5	69	74
303675	71.3	69.3	73.4
301088	71.2	65.9	76.6
303786	71.2	homozygous	71.2
307902	71.2	78.1	64.3
307940	71.2	73.4	68.9
317689	70.9	70.9	homozygous
322043	70.8	65.3	76.4
300177	70.7	76.3	65.1
300996	70.7	70.3	71
303695	70.7	77.6	63.7
300085	70.6	69.4	71.8
303031	70.6	67.7	73.5
319512	70.6	68.6	72.6
322755	70.6	homozygous	70.6
323356	70.6	69.7	71.4
316415	70.5	70.5	homozygous
300549	70.4	74.9	65.9
301234	70.3	67.9	72.7
301520	70.3	67.7	73
321834	70.2	homozygous	70.2
300053	70.1	homozygous	70.1
300896	69.9	69.9	homozygous
305163	69.9	63.7	76.1
301564	69.7	66.5	72.8
301574	69.7	72.1	67.3
302717	69.7	64.9	74.5
303666	69.4	66	72.8
303663	69.3	73.9	64.7
324643	69.2	69.2	homozygous
300100	68.9	70.9	66.9
302715	68.9	73	64.8
319808	68.9	homozygous	68.9
303466	68.6	69.3	67.8
317722	68.6	65	72.1
318726	68.5	homozygous	68.5
302734	68.4	71.1	65.7
300530	68.3	71.5	65.1
300463	67.9	67.9	homozygous
303411	67.9	67	68.8
303648	67.9	homozygous	67.9
317824	67.7	74.2	61.2
316354	67.6	75.1	60.1
307919	67.5	67.5	homozygous
303653	67.3	67.3	homozygous
317292	67.3	72.2	62.5
303227	67.2	67.4	66.9
315918	67.2	66.9	67.6
301125	66.9	66.9	homozygous
301151	66.8	66.8	homozygous
301168	66.8	68.8	64.8
303467	66.8	68.4	65.2
301556	66.7	66.7	homozygous
305354	66.7	66.7	homozygous
301445	66.6	66.6	homozygous
303023	66.6	75.5	57.7
300402	66.4	62.7	70.1
300926	66.4	66.4	homozygous
301478	66.4	67.4	65.5
305177	66.4	homozygous	66.4
307838	66.3	69.6	63.1
300212	66.2	66.2	homozygous
301032	66.2	73.1	59.4
303664	66.2	66.2	homozygous
316765	66.2	71.6	60.9
300008	66.1	65.9	66.2
317710	66.1	68.8	63.4
301191	65.8	72.4	59.1
303013	65.8	62.3	69.3
303486	65.8	61.4	70.1
303502	65.8	64	67.7
323211	65.7	70.6	60.7
301239	65.6	61.7	69.5
315945	65.5	69.7	61.3
301502	65.4	homozygous	65.4
302716	65.4	62.5	68.3
303657	65.4	60.4	70.5
320547	65.4	68.6	62.3
302977	65.3	60	70.6
303714	65.3	56	74.7
301374	65.2	61.6	68.7
316757	65.2	72.1	58.2
323221	65.2	65.2	homozygous
300974	65.1	66.1	64.1
301443	64.8	66.4	63.1
301501	64.8	63.7	66
317848	64.8	67	62.5
300200	64.7	58.7	70.6
303718	64.7	64.5	64.9
307924	64.7	homozygous	64.7
318689	64.7	59.4	70
300600	64.6	65.4	63.7
303271	64.6	60.3	68.8
303757	64.6	64.6	homozygous
307921	64.6	58	71.1
300513	64.4	64.7	64.2
300891	64.3	64	64.6
301236	64.3	55.7	73
301446	64.3	59.9	68.7
316653	64.3	55.4	73.3
324064	64.3	64.3	homozygous
300541	64.2	62.8	65.5
301099	64.2	homozygous	64.2
301139	64.2	55.9	72.5
301549	64.2	57.9	70.5
301559	64.2	homozygous	64.2
303479	64.2	65.5	62.9
303737	64.2	64.2	homozygous
313639	64.2	62.8	65.5
300159	64.1	61.8	66.4
317361	64.1	homozygous	64.1
300556	63.9	66.1	61.7
303630	63.9	60.3	67.6
320891	63.9	66.7	61
302856	63.8	63.8	homozygous
315867	63.8	57.5	70.1
318470	63.8	homozygous	63.8
300195	63.7	63.6	63.8
300215	63.7	59.1	68.3
300431	63.7	59.9	67.5
303402	63.7	65.4	62
303500	63.7	63.7	homozygous
318417	63.7	66.9	60.4
300908	63.6	61.5	65.7
318580	63.6	homozygous	63.6
300480	63.5	61.5	65.5
301092	63.5	59.1	67.8
301198	63.5	homozygous	63.5
319579	63.5	65.7	61.3
317189	63.4	66.6	60.3
300242	63.3	59.2	67.4
316769	63.3	66	60.6
301410	63.2	62.7	63.6
302815	63.2	64.1	62.3
303683	63.1	63.1	homozygous
303767	62.9	homozygous	62.9
316346	62.9	homozygous	62.9
320433	62.8	61	64.6
300459	62.6	homozygous	62.6
302701	62.5	66.5	58.4
305127	62.5	57	67.9
317680	62.5	62.5	homozygous
318889	62.5	homozygous	62.5
300869	62.4	63.4	61.4
300910	62.4	59	65.7
301015	62.4	67.5	57.2
301149	62.4	homozygous	62.4
303047	62.4	60	64.7
303712	62.4	homozygous	62.4
300972	62.3	62.3	homozygous
316785	62.3	61.6	63
317852	62.3	62.3	homozygous
307974	62.2	62.2	homozygous
300055	62.1	62	62.3
300907	62.1	homozygous	62.1
301107	62.1	61.4	62.9
319460	62.1	homozygous	62.1
302712	61.9	54.4	69.4
303523	61.9	51.6	72.2
300521	61.8	56.6	67.1
300435	61.7	58.7	64.7
300975	61.7	60.7	62.6
303294	61.7	59	64.4
307915	61.7	60.9	62.5
317958	61.7	65.3	58.1
319187	61.7	60.6	62.7
324002	61.7	61.2	62.2
316301	61.6	61.6	homozygous
300239	61.5	62	61.1
301215	61.5	61.4	61.7
305151	61.5	66.2	56.9
317243	61.5	homozygous	61.5
300498	61.4	61.4	homozygous
301540	61.4	58.4	64.4
318812	61.4	56.3	66.4
301121	61.3	56.7	65.9
301025	61.2	62.1	60.4
302885	61.2	60.6	61.9
302709	61.1	61.1	homozygous
300086	60.9	54	67.7
301190	60.9	63	58.7
301464	60.9	58.2	63.6
300570	60.8	60.8	homozygous
300882	60.8	59.7	61.9
301007	60.8	66.8	54.9
317431	60.8	59.3	62.2
307959	60.7	60.7	homozygous
300186	60.5	60.1	61
302727	60.4	57.4	63.4
303224	60.4	54.8	66
303220	60.3	60.3	homozygous
317543	60.3	homozygous	60.3
319827	60.3	homozygous	60.3
300878	60.2	61.4	59.1
301570	60.2	60.8	59.7
318058	60.2	59.2	61.1
318573	60.2	60.2	homozygous
322411	60.2	63.5	56.9
323987	60.2	60.2	homozygous
313694	60.1	65.5	54.7
303428	59.9	59.9	homozygous
301000	59.8	60.6	58.9
305130	59.8	56	63.5
307973	59.8	58.3	61.4
300162	59.7	65.5	53.9
300568	59.7	58.8	60.6
303505	59.7	63.2	56.1
300623	59.5	homozygous	59.5
302843	59.5	59.5	homozygous
320896	59.5	65.1	53.9
322347	59.5	homozygous	59.5
301173	59.4	59.4	homozygous
301356	59.4	51	67.8
307999	59.4	60.6	58.2
300184	59.3	63.4	55.2
303690	59.3	67.8	50.9
318293	59.3	59.3	homozygous
320486	59.3	55.8	62.9
205766	59.2	55.2	63.3
300079	59.2	51.8	66.6
301385	59.2	homozygous	59.2
301462	59.1	59.1	homozygous
303234	59.1	59.1	homozygous
300046	58.9	56.8	61
300523	58.9	58	59.8
300992	58.9	62.6	55.2
303455	58.9	homozygous	58.9
321892	58.9	58.9	homozygous
301217	58.8	60.5	57.1
301546	58.8	61.8	55.7
316568	58.8	53.6	63.9
318793	58.8	58.2	59.3
319015	58.8	58.8	homozygous
301543	58.7	58.6	58.8
302860	58.7	61	56.4
302828	58.6	63.5	53.7
307835	58.6	homozygous	58.6
300528	58.5	57.8	59.1
301592	58.5	60.1	56.9
302708	58.5	55.5	61.5
303768	58.5	homozygous	58.5
317767	58.5	65.1	51.9
303439	58.4	58.7	58
305369	58.4	57	59.7
313642	58.4	58.4	homozygous
301154	58.3	59.5	57.1
301262	58.3	66.2	50.4
301458	58.3	58.3	homozygous
305105	58.3	55.1	61.5
300619	58.1	52.5	63.8
303005	58.1	54.2	62
305382	58.1	58.1	homozygous
318160	58.1	58.8	57.5
303457	57.9	57.9	homozygous
316879	57.9	61.1	54.6
300540	57.8	homozygous	57.8
301009	57.8	homozygous	57.8
316502	57.8	56.8	58.9
301528	57.7	56.6	58.7
307822	57.7	60.6	54.7
316987	57.7	52.7	62.6
317464	57.7	homozygous	57.7
322068	57.7	homozygous	57.7
303282	57.6	62.5	52.7
316315	57.6	homozygous	57.6
300578	57.5	60.9	54.2
301282	57.5	60	55.1
