num_repeats	tag	closest_gene
12	trip	CNKSR2
11	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
14	trip	ARHGAP6
12	trip	ARHGAP6
20	trip	AR
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
11	trip	CNKSR2
14	trip	ARHGAP6
11	trip	CNKSR2
11	trip	CNKSR2
11	trip	CNKSR2
12	trip	CNKSR2
11	trip	ARHGAP6
16	trip	ARHGAP6
11	trip	ARHGAP6
16	trip	ARHGAP6
16	trip	ARHGAP6
16	trip	ARHGAP6
16	trip	ARHGAP6
11	trip	ARHGAP6
20	trip	AR
20	trip	AR
20	trip	AR
20	trip	AR
11	trip	AR
11	trip	AR
11	trip	AR
12	trip	CNKSR2
10	trip	CNKSR2
12	trip	CNKSR2
11	trip	CNKSR2
12	trip	CNKSR2
11	trip	CNKSR2
11	trip	CNKSR2
11	trip	CNKSR2
11	trip	CNKSR2
12	trip	CNKSR2
16	trip	ARHGAP6
11	trip	ARHGAP6
11	trip	ARHGAP6
11	trip	ARHGAP6
11	trip	AR
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
14	trip	ARHGAP6
18	trip	ARHGAP6
14	trip	ARHGAP6
18	trip	ARHGAP6
14	trip	ARHGAP6
17	trip	AR
17	trip	AR
17	trip	AR
20	trip	AR
20	trip	AR
20	trip	AR
12	trip	CNKSR2
12	trip	CNKSR2
13	trip	ARHGAP6
14	trip	ARHGAP6
14	trip	ARHGAP6
14	trip	ARHGAP6
14	trip	ARHGAP6
11	trip	ARHGAP6
17	trip	AR
17	trip	AR
17	trip	AR
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
16	trip	ARHGAP6
16	trip	ARHGAP6
24	trip	AR
24	trip	AR
12	trip	CNKSR2
16	trip	ARHGAP6
24	trip	AR
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
16	trip	ARHGAP6
16	trip	ARHGAP6
16	trip	ARHGAP6
18	trip	ARHGAP6
17	trip	ARHGAP6
18	trip	ARHGAP6
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
13	trip	CNKSR2
11	trip	CNKSR2
