sample	TRiX	HUMARA
300285	89.6	98.5
302504	52.3	homozygous
315015	55.8	55
316493	61.4	59.2
316561	61	56.6
316613	54.2	56.2
316662	57.2	homozygous
316689	64.7	homozygous
316721	52	55.6
316856	58.2	50.3
316903	58	homozygous
316977	82.4	86.7
317006	93.8	96.2
317280	54	74.5
317317	60.1	52
317727	76.6	73.2
317740	57.2	52.4
317793	60.5	homozygous
317803	56.4	54.6
317855	57	56.4
318030	65.5	homozygous
318322	66.3	51
318581	63.5	homozygous
318730	61.5	70.6
319056	60.4	65.1
319096	55.2	homozygous
319153	63.1	67.5
319170	73.8	78.8
319489	64.3	62.1
319678	66.5	64.6
320248	91.3	95.8
320254	62.1	76.7
320280	97	99.6
320560	66.7	77.1
320574	93.8	97.9
320607	58.2	homozygous
320678	64.5	homozygous
321433	59.6	61.4
321478	68.2	77.2
321852	63.5	59.3
321994	75.8	74.9
322039	71.1	62
322620	55.8	57.7
323213	75.9	65.1
323296	62.7	67.9
323327	57.7	54.2
324066	70.6	homozygous
324416	61.4	66.3
324645	56.7	61.3
324655	82.2	homozygous
