sample	variable	n	min	max	median	iqr	mean	sd	se	ci	XCI pattern
205766	value	3	55.2	63.3	59.2	4.05	59.233	4.05	2.338	10.061	mosaic
300008	value	3	65.9	66.2	66.1	0.15	66.067	0.153	0.088	0.379	mosaic
300036	value	3	52.7	57.7	55.2	2.5	55.2	2.5	1.443	6.21	mosaic
300046	value	3	56.8	61	58.9	2.1	58.9	2.1	1.212	5.217	mosaic
300049	value	3	54.7	59	56.9	2.15	56.867	2.15	1.241	5.341	mosaic
300053	value	2	70.1	70.1	70.1	0	70.1	0	0	0	mosaic
300055	value	3	62	62.3	62.1	0.15	62.133	0.153	0.088	0.379	mosaic
300063	value	3	53	59.6	56.3	3.3	56.3	3.3	1.905	8.198	mosaic
300069	value	2	81.7	81.7	81.7	0	81.7	0	0	0	extremely skewed
300074	value	3	51.5	54.6	53	1.55	53.033	1.55	0.895	3.851	mosaic
300077	value	3	71.3	73.6	72.4	1.15	72.433	1.15	0.664	2.858	skewed
300079	value	3	51.8	66.6	59.2	7.4	59.2	7.4	4.272	18.383	mosaic
300085	value	3	69.4	71.8	70.6	1.2	70.6	1.2	0.693	2.981	mosaic
300086	value	3	54	67.7	60.9	6.85	60.867	6.85	3.955	17.016	mosaic
300087	value	3	81.3	82	81.7	0.35	81.667	0.351	0.203	0.872	extremely skewed
300089	value	2	52.8	52.8	52.8	0	52.8	0	0	0	mosaic
300091	value	3	58.8	69.2	64	5.2	64	5.2	3.002	12.918	mosaic
300093	value	2	57.4	57.4	57.4	0	57.4	0	0	0	mosaic
300098	value	3	71.9	83.9	77.9	6	77.9	6	3.464	14.905	skewed
300100	value	3	66.9	70.9	68.9	2	68.9	2	1.155	4.968	mosaic
300115	value	3	52.4	53.7	53	0.65	53.033	0.651	0.376	1.616	mosaic
300120	value	3	50.9	61.2	56	5.15	56.033	5.15	2.973	12.794	mosaic
300133	value	2	53.1	53.1	53.1	0	53.1	0	0	0	mosaic
300137	value	3	83.1	85.5	84.3	1.2	84.3	1.2	0.693	2.981	extremely skewed
300146	value	2	52.7	52.7	52.7	0	52.7	0	0	0	mosaic
300151	value	3	70.6	73.8	72.2	1.6	72.2	1.6	0.924	3.975	skewed
300154	value	2	54.5	54.5	54.5	0	54.5	0	0	0	mosaic
300156	value	3	72.3	86.8	79.6	7.25	79.567	7.25	4.186	18.01	skewed
300159	value	3	61.8	66.4	64.1	2.3	64.1	2.3	1.328	5.714	mosaic
300162	value	3	53.9	65.5	59.7	5.8	59.7	5.8	3.349	14.408	mosaic
300172	value	2	56.7	56.7	56.7	0	56.7	0	0	0	mosaic
300173	value	2	50.4	50.4	50.4	0	50.4	0	0	0	mosaic
