sample	variable	skewing	skewed
GTEX-1122O	GTEx - whole blood	76.2	not_skewed
GTEX-1128S	GTEx - whole blood	73.6	not_skewed
GTEX-113JC	GTEx - whole blood	57.9	not_skewed
GTEX-11DXX	GTEx - whole blood	67.3	not_skewed
GTEX-11EM3	GTEx - whole blood	59.5	not_skewed
GTEX-11EMC	GTEx - whole blood	96.6	skewed
GTEX-11I78	GTEx - whole blood	67.8	not_skewed
GTEX-11P81	GTEx - whole blood	67.5	not_skewed
GTEX-11TTK	GTEx - whole blood	82.9	skewed
GTEX-11VI4	GTEx - whole blood	77.6	not_skewed
GTEX-11XUK	GTEx - whole blood	67.4	not_skewed
GTEX-11ZTS	GTEx - whole blood	68.6	not_skewed
GTEX-11ZTT	GTEx - whole blood	62.2	not_skewed
GTEX-11ZVC	GTEx - whole blood	86.7	skewed
GTEX-1211K	GTEx - whole blood	67.8	not_skewed
GTEX-1269C	GTEx - whole blood	84.2	skewed
GTEX-12WS9	GTEx - whole blood	62.4	not_skewed
GTEX-12WSB	GTEx - whole blood	58.3	not_skewed
GTEX-12WSG	GTEx - whole blood	85.7	skewed
GTEX-12WSJ	GTEx - whole blood	58.7	not_skewed
GTEX-12WSK	GTEx - whole blood	85	skewed
GTEX-12ZZX	GTEx - whole blood	57.5	not_skewed
GTEX-13113	GTEx - whole blood	66.7	not_skewed
GTEX-1313W	GTEx - whole blood	72.2	not_skewed
GTEX-131XG	GTEx - whole blood	77.3	not_skewed
GTEX-131XW	GTEx - whole blood	97.6	skewed
GTEX-132AR	GTEx - whole blood	80	skewed
GTEX-1399S	GTEx - whole blood	61.1	not_skewed
GTEX-1399U	GTEx - whole blood	61	not_skewed
GTEX-139D8	GTEx - whole blood	70.6	not_skewed
GTEX-13CF3	GTEx - whole blood	83.8	skewed
GTEX-13FTX	GTEx - whole blood	75.5	not_skewed
GTEX-13FTY	GTEx - whole blood	90.6	skewed
GTEX-13JUV	GTEx - whole blood	71.4	not_skewed
GTEX-13OVI	GTEx - whole blood	58.3	not_skewed
GTEX-13PL7	GTEx - whole blood	80.9	skewed
GTEX-13PLJ	GTEx - whole blood	100	skewed
GTEX-13S7M	GTEx - whole blood	65.9	not_skewed
GTEX-13SLX	GTEx - whole blood	76.9	not_skewed
GTEX-13U4I	GTEx - whole blood	64.9	not_skewed
GTEX-13VXT	GTEx - whole blood	57.8	not_skewed
GTEX-13W3W	GTEx - whole blood	74.2	not_skewed
GTEX-147F3	GTEx - whole blood	89	skewed
GTEX-148VI	GTEx - whole blood	69.6	not_skewed
GTEX-14A5I	GTEx - whole blood	66.7	not_skewed
GTEX-14AS3	GTEx - whole blood	67.9	not_skewed
GTEX-14BIM	GTEx - whole blood	91.4	skewed
GTEX-14BIN	GTEx - whole blood	64.5	not_skewed
GTEX-14BMU	GTEx - whole blood	64.7	not_skewed
GTEX-14DAQ	GTEx - whole blood	84.6	skewed
GTEX-14H4A	GTEx - whole blood	87.5	skewed
GTEX-14JG6	GTEx - whole blood	57.7	not_skewed
GTEX-14LLW	GTEx - whole blood	60	not_skewed
GTEX-14LZ3	GTEx - whole blood	98.5	skewed
GTEX-14PHW	GTEx - whole blood	95	skewed
GTEX-14PHY	GTEx - whole blood	88.9	skewed
GTEX-14PJ5	GTEx - whole blood	63.6	not_skewed
GTEX-14PJ6	GTEx - whole blood	90	skewed
GTEX-14PK6	GTEx - whole blood	87.9	skewed
GTEX-14PKU	GTEx - whole blood	60.6	not_skewed
GTEX-14PKV	GTEx - whole blood	74.3	not_skewed
GTEX-14PN3	GTEx - whole blood	70	not_skewed
GTEX-14PQA	GTEx - whole blood	83.9	skewed
GTEX-14XAO	GTEx - whole blood	56.2	not_skewed
GTEX-15CHC	GTEx - whole blood	77.5	not_skewed
GTEX-15DCD	GTEx - whole blood	68.8	not_skewed
GTEX-15DYW	GTEx - whole blood	63.4	not_skewed
GTEX-15DZA	GTEx - whole blood	60.9	not_skewed
GTEX-15ETS	GTEx - whole blood	95.7	skewed
GTEX-15SB6	GTEx - whole blood	56.9	not_skewed
GTEX-15SDE	GTEx - whole blood	61.1	not_skewed
GTEX-16BQI	GTEx - whole blood	76.9	not_skewed
GTEX-16MT8	GTEx - whole blood	100	skewed
GTEX-16MT9	GTEx - whole blood	61.5	not_skewed
GTEX-16NGA	GTEx - whole blood	90	skewed
GTEX-16NPV	GTEx - whole blood	62.5	not_skewed
GTEX-17HG3	GTEx - whole blood	90.4	skewed
GTEX-17JCI	GTEx - whole blood	61	not_skewed
GTEX-183WM	GTEx - whole blood	83.8	skewed
GTEX-18A7A	GTEx - whole blood	66.7	not_skewed
GTEX-18D9A	GTEx - whole blood	57.6	not_skewed
GTEX-1A32A	GTEx - whole blood	85.5	skewed
GTEX-1A3MW	GTEx - whole blood	95.8	skewed
GTEX-1A8FM	GTEx - whole blood	58	not_skewed
GTEX-1AMEY	GTEx - whole blood	77.7	not_skewed
GTEX-1AMFI	GTEx - whole blood	68.7	not_skewed
GTEX-1B932	GTEx - whole blood	90.6	skewed
GTEX-1B97J	GTEx - whole blood	55.7	not_skewed
GTEX-1C475	GTEx - whole blood	97.5	skewed
GTEX-1CAMS	GTEx - whole blood	79	not_skewed
