skewed_tissue_count	count	frac	frac2
0	74	0.286821705426357	3.5
1	77	0.298449612403101	3.4
2	32	0.124031007751938	8.1
3	25	0.0968992248062016	10.3
4	15	0.0581395348837209	17.2
5	2	0.00775193798449612	129
6	4	0.0155038759689922	64.5
7	6	0.0232558139534884	43
8	5	0.0193798449612403	51.6
9	2	0.00775193798449612	129
10	2	0.00775193798449612	129
11	4	0.0155038759689922	64.5
12	2	0.00775193798449612	129
13	2	0.00775193798449612	129
14	1	0.00387596899224806	258
15	2	0.00775193798449612	129
17	2	0.00775193798449612	129
20	1	0.00387596899224806	258
