participant	tissue_id	variable	n	min	max	median	iqr	mean	sd	se	ci
GTEX-11UD1	brain-2	effectSize	52	0.083	0.5	0.229	0.118	0.237	0.09	0.013	0.025
GTEX-11ZTS	brain-2	effectSize	21	0	0.5	0.111	0.103	0.127	0.122	0.027	0.056
GTEX-11ZVC	brain-2	effectSize	39	0	0.375	0.062	0.103	0.096	0.092	0.015	0.03
GTEX-12WS9	brain-2	effectSize	45	0	0.5	0.167	0.135	0.192	0.114	0.017	0.034
GTEX-12ZZX	brain-2	effectSize	52	0	0.3	0.071	0.073	0.092	0.073	0.01	0.02
GTEX-1313W	brain-2	effectSize	36	0.029	0.357	0.232	0.117	0.228	0.07	0.012	0.024
GTEX-13O3O	brain-2	effectSize	45	0	0.417	0.167	0.073	0.169	0.086	0.013	0.026
GTEX-13PLJ	brain-2	effectSize	31	0.348	0.5	0.5	0.022	0.48	0.038	0.007	0.014
GTEX-13QIC	brain-2	effectSize	52	0	0.5	0.1	0.091	0.128	0.101	0.014	0.028
GTEX-13S7M	brain-2	effectSize	54	0	0.389	0.114	0.119	0.134	0.096	0.013	0.026
GTEX-13X6K	brain-2	effectSize	48	0	0.3	0.071	0.101	0.1	0.077	0.011	0.022
GTEX-145LS	brain-2	effectSize	28	0	0.346	0.088	0.121	0.117	0.096	0.018	0.037
GTEX-145MI	brain-2	effectSize	43	0	0.5	0.25	0.136	0.245	0.103	0.016	0.032
GTEX-14BIM	brain-2	effectSize	36	0.056	0.4	0.212	0.112	0.208	0.087	0.015	0.029
GTEX-14BIN	brain-2	effectSize	35	0.003	0.5	0.076	0.083	0.096	0.094	0.016	0.032
GTEX-14DAQ	brain-2	effectSize	48	0.115	0.5	0.231	0.088	0.244	0.088	0.013	0.026
GTEX-14LLW	brain-2	effectSize	49	0	0.498	0.071	0.105	0.107	0.103	0.015	0.03
GTEX-14LZ3	brain-2	effectSize	38	0	0.5	0.217	0.133	0.222	0.112	0.018	0.037
GTEX-14PQA	brain-2	effectSize	39	0	0.389	0.083	0.117	0.106	0.094	0.015	0.031
GTEX-15DCD	brain-2	effectSize	60	0.022	0.5	0.188	0.088	0.191	0.082	0.011	0.021
