participant	variable	n	min	max	median	iqr	mean	sd	se	ci
GTEX-1117F	median	13	0.125	0.375	0.257	0.093	0.26	0.082	0.023	0.05
GTEX-1122O	median	24	0.064	0.4	0.157	0.132	0.178	0.09	0.018	0.038
GTEX-1128S	median	15	0.068	0.389	0.149	0.08	0.152	0.082	0.021	0.046
GTEX-113JC	median	10	0.079	0.188	0.14	0.029	0.145	0.03	0.01	0.022
GTEX-11DXX	median	27	0.056	0.262	0.095	0.045	0.109	0.061	0.012	0.024
GTEX-11EM3	median	23	0.062	0.363	0.095	0.132	0.146	0.085	0.018	0.037
GTEX-11EMC	median	26	0.065	0.466	0.145	0.12	0.172	0.095	0.019	0.039
GTEX-11I78	median	23	0.061	0.37	0.118	0.099	0.134	0.077	0.016	0.033
GTEX-11P81	median	23	0.175	0.35	0.295	0.06	0.284	0.05	0.01	0.022
GTEX-11TTK	median	18	0.071	0.357	0.222	0.114	0.209	0.08	0.019	0.04
GTEX-11UD1	median	7	0.192	0.407	0.226	0.032	0.249	0.073	0.028	0.068
GTEX-11VI4	median	19	0.068	0.276	0.138	0.1	0.155	0.069	0.016	0.033
GTEX-11XUK	median	17	0.068	0.386	0.174	0.097	0.188	0.086	0.021	0.044
GTEX-11ZTS	median	26	0.056	0.357	0.1	0.05	0.117	0.06	0.012	0.024
GTEX-11ZTT	median	15	0.071	0.321	0.098	0.089	0.135	0.073	0.019	0.041
GTEX-11ZVC	median	20	0.056	0.367	0.117	0.082	0.124	0.071	0.016	0.033
GTEX-1211K	median	23	0.062	0.419	0.125	0.093	0.145	0.087	0.018	0.037
GTEX-1269C	median	16	0.071	0.342	0.138	0.129	0.166	0.085	0.021	0.045
GTEX-12WS9	median	20	0.071	0.357	0.161	0.127	0.182	0.083	0.019	0.039
GTEX-12WSB	median	17	0.083	0.333	0.189	0.086	0.194	0.068	0.017	0.035
GTEX-12WSG	median	19	0.041	0.357	0.158	0.079	0.168	0.074	0.017	0.036
GTEX-12WSJ	median	15	0.037	0.192	0.092	0.048	0.105	0.04	0.01	0.022
GTEX-12WSK	median	22	0.078	0.355	0.16	0.107	0.179	0.088	0.019	0.039
GTEX-12ZZX	median	30	0.056	0.254	0.082	0.051	0.105	0.053	0.01	0.02
GTEX-13113	median	20	0.056	0.447	0.167	0.067	0.186	0.087	0.019	0.04
GTEX-1313W	median	28	0.067	0.317	0.204	0.068	0.2	0.062	0.012	0.024
GTEX-131XG	median	24	0.049	0.369	0.166	0.147	0.18	0.094	0.019	0.04
GTEX-131XW	median	17	0.113	0.5	0.38	0.15	0.369	0.101	0.025	0.052
GTEX-132AR	median	24	0.071	0.37	0.167	0.079	0.172	0.074	0.015	0.031
GTEX-133LE	median	17	0.071	0.318	0.136	0.135	0.167	0.084	0.02	0.043
GTEX-1399S	median	23	0.056	0.351	0.136	0.099	0.159	0.079	0.017	0.034
GTEX-1399U	median	27	0.056	0.297	0.118	0.044	0.129	0.053	0.01	0.021
GTEX-139D8	median	12	0.084	0.347	0.22	0.034	0.219	0.068	0.02	0.043
GTEX-139T4	median	6	0.226	0.342	0.257	0.047	0.264	0.044	0.018	0.047
GTEX-13CF3	median	23	0.059	0.363	0.183	0.104	0.194	0.089	0.019	0.039
GTEX-13D11	median	25	0.071	0.337	0.15	0.12	0.164	0.08	0.016	0.033
GTEX-13FH7	median	23	0.056	0.209	0.115	0.086	0.119	0.049	0.01	0.021
GTEX-13FTX	median	14	0.055	0.468	0.107	0.113	0.146	0.115	0.031	0.066
GTEX-13FTY	median	14	0.065	0.406	0.174	0.07	0.192	0.1	0.027	0.058
GTEX-13JUV	median	20	0.061	0.297	0.124	0.122	0.146	0.072	0.016	0.034
GTEX-13N11	median	21	0.059	0.425	0.125	0.096	0.158	0.107	0.023	0.049
GTEX-13NZ8	median	11	0.06	0.309	0.1	0.064	0.127	0.075	0.023	0.051
GTEX-13O3O	median	27	0.06	0.413	0.133	0.068	0.151	0.086	0.016	0.034
GTEX-13OVI	median	22	0.05	0.25	0.09	0.07	0.108	0.051	0.011	0.023
GTEX-13PL6	median	11	0.069	0.21	0.099	0.088	0.125	0.056	0.017	0.038
GTEX-13PL7	median	20	0.042	0.318	0.124	0.088	0.146	0.088	0.02	0.041
GTEX-13PLJ	median	9	0.367	0.5	0.5	0.023	0.478	0.043	0.014	0.033
GTEX-13PVR	median	24	0.05	0.436	0.144	0.121	0.16	0.101	0.021	0.043
GTEX-13QBU	median	24	0.048	0.167	0.107	0.046	0.104	0.03	0.006	0.013
GTEX-13QIC	median	15	0.045	0.191	0.097	0.062	0.1	0.047	0.012	0.026
GTEX-13QJC	median	16	0.056	0.377	0.147	0.111	0.157	0.089	0.022	0.047
GTEX-13S7M	median	20	0.06	0.2	0.097	0.042	0.103	0.034	0.008	0.016
GTEX-13SLX	median	25	0.067	0.402	0.186	0.076	0.196	0.083	0.017	0.034
