sample	variable	value	XCI pattern
205766	mean	59.2	mosaic
205766	TRiXi1	55.2	mosaic
205766	TRiXi3	63.3	mosaic
300008	mean	66.1	mosaic
300008	TRiXi1	65.9	mosaic
300008	TRiXi3	66.2	mosaic
300036	mean	55.2	mosaic
300036	TRiXi1	57.7	mosaic
300036	TRiXi3	52.7	mosaic
300046	mean	58.9	mosaic
300046	TRiXi1	56.8	mosaic
300046	TRiXi3	61	mosaic
300049	mean	56.9	mosaic
300049	TRiXi1	54.7	mosaic
300049	TRiXi3	59	mosaic
300053	mean	70.1	mosaic
300053	TRiXi3	70.1	mosaic
300055	mean	62.1	mosaic
300055	TRiXi1	62	mosaic
300055	TRiXi3	62.3	mosaic
300063	mean	56.3	mosaic
300063	TRiXi1	59.6	mosaic
300063	TRiXi3	53	mosaic
300069	mean	81.7	extremely skewed
300069	TRiXi3	81.7	extremely skewed
300074	mean	53	mosaic
300074	TRiXi1	51.5	mosaic
300074	TRiXi3	54.6	mosaic
300077	mean	72.4	skewed
300077	TRiXi1	71.3	skewed
300077	TRiXi3	73.6	skewed
300079	mean	59.2	mosaic
300079	TRiXi1	51.8	mosaic
300079	TRiXi3	66.6	mosaic
300085	mean	70.6	mosaic
300085	TRiXi1	69.4	mosaic
300085	TRiXi3	71.8	mosaic
300086	mean	60.9	mosaic
300086	TRiXi1	54	mosaic
300086	TRiXi3	67.7	mosaic
300087	mean	81.7	extremely skewed
300087	TRiXi1	82	extremely skewed
300087	TRiXi3	81.3	extremely skewed
300089	mean	52.8	mosaic
300089	TRiXi3	52.8	mosaic
300091	mean	64	mosaic
300091	TRiXi1	58.8	mosaic
300091	TRiXi3	69.2	mosaic
300093	mean	57.4	mosaic
300093	TRiXi3	57.4	mosaic
300098	mean	77.9	skewed
300098	TRiXi1	83.9	skewed
300098	TRiXi3	71.9	skewed
300100	mean	68.9	mosaic
300100	TRiXi1	70.9	mosaic
300100	TRiXi3	66.9	mosaic
300115	mean	53	mosaic
300115	TRiXi1	52.4	mosaic
300115	TRiXi3	53.7	mosaic
300120	mean	56	mosaic
300120	TRiXi1	61.2	mosaic
300120	TRiXi3	50.9	mosaic
300133	mean	53.1	mosaic
300133	TRiXi1	53.1	mosaic
300137	mean	84.3	extremely skewed
300137	TRiXi1	83.1	extremely skewed
300137	TRiXi3	85.5	extremely skewed
300146	mean	52.7	mosaic
300146	TRiXi3	52.7	mosaic
300151	mean	72.2	skewed
300151	TRiXi1	70.6	skewed
300151	TRiXi3	73.8	skewed
300154	mean	54.5	mosaic
300154	TRiXi3	54.5	mosaic
300156	mean	79.6	skewed
300156	TRiXi1	86.8	skewed
300156	TRiXi3	72.3	skewed
300159	mean	64.1	mosaic
300159	TRiXi1	61.8	mosaic
300159	TRiXi3	66.4	mosaic
300162	mean	59.7	mosaic
300162	TRiXi1	65.5	mosaic
300162	TRiXi3	53.9	mosaic
300172	mean	56.7	mosaic
300172	TRiXi3	56.7	mosaic
300173	mean	50.4	mosaic
300173	TRiXi1	50.4	mosaic
300177	mean	70.7	mosaic
300177	TRiXi1	76.3	mosaic
300177	TRiXi3	65.1	mosaic
300178	mean	59	mosaic
300178	TRiXi1	56.2	mosaic
300178	TRiXi3	61.7	mosaic
300184	mean	59.3	mosaic
300184	TRiXi1	63.4	mosaic
300184	TRiXi3	55.2	mosaic
300186	mean	60.5	mosaic
300186	TRiXi1	60.1	mosaic
300186	TRiXi3	61	mosaic
300188	mean	53.5	mosaic
300188	TRiXi1	55.8	mosaic
300188	TRiXi3	51.2	mosaic
300190	mean	56.5	mosaic
300190	TRiXi1	54.9	mosaic
300190	TRiXi3	58	mosaic
300191	mean	50.9	mosaic
300191	TRiXi1	51.7	mosaic
300191	TRiXi3	50	mosaic
300195	mean	63.7	mosaic
300195	TRiXi1	63.6	mosaic
300195	TRiXi3	63.8	mosaic
300199	mean	78.6	skewed
300199	TRiXi1	74.3	skewed
300199	TRiXi3	82.9	skewed
300200	mean	64.7	mosaic
300200	TRiXi1	58.7	mosaic
300200	TRiXi3	70.6	mosaic
300205	mean	53.2	mosaic
300205	TRiXi3	53.2	mosaic
300207	mean	55	mosaic
300207	TRiXi1	55.5	mosaic
300207	TRiXi3	54.6	mosaic
300211	mean	55.2	mosaic
300211	TRiXi1	54.6	mosaic
300211	TRiXi3	55.9	mosaic
300212	mean	66.2	mosaic
300212	TRiXi1	66.2	mosaic
300214	mean	50.3	mosaic
300214	TRiXi3	50.3	mosaic
300215	mean	63.7	mosaic
300215	TRiXi1	59.1	mosaic
300215	TRiXi3	68.3	mosaic
300216	mean	50.2	mosaic
300216	TRiXi1	50.2	mosaic
300223	mean	60	mosaic
300223	TRiXi1	58.5	mosaic
300223	TRiXi3	61.4	mosaic
300226	mean	72.6	skewed
300226	TRiXi1	79.8	skewed
300226	TRiXi3	65.4	skewed
300236	mean	54.4	mosaic
300236	TRiXi1	52.4	mosaic
300236	TRiXi3	56.4	mosaic
300239	mean	61.5	mosaic
300239	TRiXi1	62	mosaic
300239	TRiXi3	61.1	mosaic
300242	mean	63.3	mosaic
300242	TRiXi1	59.2	mosaic
300242	TRiXi3	67.4	mosaic
300244	mean	56.5	mosaic
300244	TRiXi1	50.7	mosaic
300244	TRiXi3	62.4	mosaic
300247	mean	67	mosaic
300247	TRiXi1	67	mosaic
300259	mean	56.8	mosaic
300259	TRiXi1	56.8	mosaic
300285	mean	89.6	extremely skewed
300285	TRiXi1	89.6	extremely skewed
300318	mean	50.8	mosaic
300318	TRiXi1	50.8	mosaic
300318	TRiXi3	50.9	mosaic
300329	mean	56.5	mosaic
300329	TRiXi1	61.6	mosaic
300329	TRiXi3	51.3	mosaic
300332	mean	51.4	mosaic
300332	TRiXi1	51.7	mosaic
300332	TRiXi3	51.1	mosaic
300402	mean	66.4	mosaic
300402	TRiXi1	62.7	mosaic
300402	TRiXi3	70.1	mosaic
300417	mean	54	mosaic
300417	TRiXi1	50.7	mosaic
300417	TRiXi3	57.4	mosaic
