sample	variable	value	XCI pattern
300069	TRiXi3	81.7	extremely skewed
300087	TRiXi1	82	extremely skewed
300087	TRiXi3	81.3	extremely skewed
300137	TRiXi1	83.1	extremely skewed
300137	TRiXi3	85.5	extremely skewed
300285	TRiXi1	89.6	extremely skewed
300515	TRiXi1	85.8	extremely skewed
301001	TRiXi3	89.9	extremely skewed
301213	TRiXi3	88.6	extremely skewed
301227	TRiXi1	90.4	extremely skewed
301227	TRiXi3	85.1	extremely skewed
301363	TRiXi1	96.2	extremely skewed
301363	TRiXi3	94.6	extremely skewed
301435	TRiXi1	86.4	extremely skewed
301521	TRiXi1	85.2	extremely skewed
301521	TRiXi3	83.4	extremely skewed
301534	TRiXi3	80.1	extremely skewed
302825	TRiXi1	84.7	extremely skewed
303419	TRiXi1	95.1	extremely skewed
303419	TRiXi3	91.5	extremely skewed
303640	TRiXi1	85.7	extremely skewed
303670	TRiXi1	82.5	extremely skewed
303684	TRiXi1	88.2	extremely skewed
303684	TRiXi3	86.8	extremely skewed
303686	TRiXi3	82.5	extremely skewed
303703	TRiXi1	81.9	extremely skewed
303703	TRiXi3	84.3	extremely skewed
303713	TRiXi1	80.5	extremely skewed
307839	TRiXi1	90.6	extremely skewed
307839	TRiXi3	78.3	extremely skewed
307927	TRiXi1	85.5	extremely skewed
313668	TRiXi1	80.4	extremely skewed
313668	TRiXi2	85.4	extremely skewed
313668	TRiXi3	79.2	extremely skewed
313668	TRiXi5	83.6	extremely skewed
315049	TRiXi1	94.9	extremely skewed
315049	TRiXi2	81	extremely skewed
315049	TRiXi3	73	extremely skewed
315049	TRiXi5	88.1	extremely skewed
315988	TRiXi1	88.7	extremely skewed
315988	TRiXi3	73.8	extremely skewed
316340	TRiXi1	86.2	extremely skewed
316340	TRiXi2	80.6	extremely skewed
316340	TRiXi3	88.2	extremely skewed
316389	TRiXi1	85.1	extremely skewed
316389	TRiXi2	86.4	extremely skewed
316389	TRiXi3	77.4	extremely skewed
316389	TRiXi4	83.1	extremely skewed
316389	TRiXi5	85.8	extremely skewed
316652	TRiXi1	84.8	extremely skewed
316652	TRiXi3	79	extremely skewed
316803	TRiXi1	76.6	extremely skewed
316803	TRiXi4	87.4	extremely skewed
316803	TRiXi5	83.9	extremely skewed
316977	TRiXi1	82.9	extremely skewed
316977	TRiXi3	86.2	extremely skewed
316977	TRiXi4	79.9	extremely skewed
316977	TRiXi5	80.4	extremely skewed
317006	TRiXi1	92.1	extremely skewed
317006	TRiXi3	95.5	extremely skewed
317158	TRiXi1	82	extremely skewed
317158	TRiXi3	80.9	extremely skewed
317631	TRiXi1	85.1	extremely skewed
317779	TRiXi1	77.5	extremely skewed
317779	TRiXi3	83.1	extremely skewed
318034	TRiXi1	79.3	extremely skewed
318034	TRiXi3	80.1	extremely skewed
318034	TRiXi4	83.7	extremely skewed
318034	TRiXi5	89.4	extremely skewed
318531	TRiXi3	78.9	extremely skewed
318531	TRiXi4	77.1	extremely skewed
318531	TRiXi5	89.9	extremely skewed
318609	TRiXi1	80.2	extremely skewed
318609	TRiXi3	80.5	extremely skewed
318745	TRiXi1	83.7	extremely skewed
319345	TRiXi1	74.4	extremely skewed
319345	TRiXi3	79.9	extremely skewed
319345	TRiXi5	89.9	extremely skewed
319890	TRiXi1	85.8	extremely skewed
319890	TRiXi3	80.1	extremely skewed
320229	TRiXi3	83.3	extremely skewed
320229	TRiXi4	78.6	extremely skewed
320229	TRiXi5	77.4	extremely skewed
320248	TRiXi1	91.7	extremely skewed
320248	TRiXi2	89.6	extremely skewed
320248	TRiXi3	92.7	extremely skewed
320280	TRiXi1	94.8	extremely skewed
320280	TRiXi2	97.8	extremely skewed
320280	TRiXi3	99.3	extremely skewed
320280	TRiXi4	93.3	extremely skewed
320280	TRiXi5	99.6	extremely skewed
320574	TRiXi1	84.5	extremely skewed
320574	TRiXi3	98.4	extremely skewed
320574	TRiXi4	98.4	extremely skewed
321022	TRiXi1	84.3	extremely skewed
321022	TRiXi2	85.6	extremely skewed
322421	TRiXi1	86.7	extremely skewed
322421	TRiXi4	81.9	extremely skewed
322421	TRiXi5	86.4	extremely skewed
322646	TRiXi3	82.9	extremely skewed
322646	TRiXi5	82.6	extremely skewed
322829	TRiXi2	70	extremely skewed
322829	TRiXi3	85.7	extremely skewed
322829	TRiXi4	88.2	extremely skewed
322829	TRiXi5	94.5	extremely skewed
323315	TRiXi1	78.2	extremely skewed
323315	TRiXi2	83.5	extremely skewed
323315	TRiXi5	79.8	extremely skewed
323317	TRiXi1	84.3	extremely skewed
324434	TRiXi1	86.6	extremely skewed
324655	TRiXi1	75	extremely skewed
324655	TRiXi2	88.3	extremely skewed
324655	TRiXi5	82.6	extremely skewed
821022	TRiXi1	80.9	extremely skewed
821022	TRiXi2	85.9	extremely skewed
821022	TRiXi3	77.8	extremely skewed
